ID SCAFFOLD PROPERTY DIFF
gen_3 COC.Cc1ccc2nc(-c3cc(C)c(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(O)cc45)cc3O)sc2c1 6.723 0.295
gen_4 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1.COC 6.246 0.182
gen_5 COC.Cc1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)ccc45)cc3)nc2c1 6.557 0.129
gen_6 COC.COc1cc2c(Nc3ccc(-c4nc5cc(C)ccc5s4)c(O)c3)ncnc2cc1OCCCN1CCN(C)CC1 6.606 0.179
gen_7 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_8 COC.COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1 5.688 0.739
gen_9 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccc([Cl:0])cc6s5)cc4)ncnc3c2)CC1.COC 6.660 0.232
gen_10 COC.Cc1ccc2sc(-c3cc(C)c(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(C)cc45)cc3O)nc2c1 6.710 0.282
gen_11 COC.Cc1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(O)cc45)cc3)nc2c1 6.631 0.204
gen_12 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_13 c1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCNCC6)ccc45)cc3)nc2c1 6.428 0.000
gen_14 COC.Cc1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(O)cc45)cc3)nc2c1 6.631 0.204
gen_15 COC.Cc1cc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(C)cc45)cc3)sc2cc1O 6.523 0.095
gen_16 COC.Cc1ccc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(O)cc45)cc3)sc2c1 6.499 0.072
gen_17 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_18 COC.Cc1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)ccc45)cc3)nc2c1 6.557 0.129
gen_19 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_20 COC.COc1cc2c(Nc3ccc(-c4nc5cc(C)c(O)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1 6.184 0.243
gen_21 COC.Cc1ccc2nc(-c3cc(C)c(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(O)cc45)cc3O)sc2c1 6.723 0.295
gen_22 COC.Cc1cc2c(Nc3ccc(-c4nc5ccc(O)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1 6.345 0.083
gen_23 COC.COc1cc2c(Nc3ccc(-c4nc5cc(C)ccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1 5.933 0.495
gen_24 COC.COc1cc2c(Nc3cc(O)c(-c4nc5ccc(C)cc5s4)cc3C)ncnc2cc1OCCCN1CCN(C)CC1 6.489 0.061
gen_25 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_26 COC.Cc1cc2c(Nc3ccc(-c4nc5ccc(O)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1 6.345 0.083
gen_27 CN1CCN(CCCOc2ccc3c(Nc4ccc(-c5nc6ccccc6s5)cc4)ncnc3c2)CC1 6.278 0.150
gen_28 COC.Cc1ccc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)ccc45)cc3O)sc2c1 6.713 0.285
gen_29 COC.Cc1ccc2sc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)ccc45)cc3)nc2c1 6.557 0.129

ID SCAFFOLD PROPERTY DIFF
CHEMBL398793 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746
gen_0 O[C@@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)C1 6.463 0.283
gen_1 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_2 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_3 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_4 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_5 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_6 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_7 CN1CCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1 6.678 0.068
gen_8 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_9 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_10 O[C@@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)C1 6.463 0.283
gen_11 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_12 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_13 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_14 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_15 CO.Cc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCN(C)CC6)c45)ccc32)c1 6.740 0.006
gen_16 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_17 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_18 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_19 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_20 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_21 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_22 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_23 CCC.Cc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCN(C)CC6)c45)ccc32)c1 6.746 0.000
gen_24 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_25 CN1CCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)CC1.CO 6.672 0.074
gen_26 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_27 O[C@H]1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5ccccc5)c4)c23)C1 6.779 0.033
gen_28 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000
gen_29 c1ccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCCNCC6)c45)ccc32)cc1 6.746 0.000

ID SCAFFOLD PROPERTY DIFF
CHEMBL1997129 O=C1NCCc2[nH]c(-c3ccnc(C=Cc4ccccc4)c3)cc21 6.230

ID SCAFFOLD PROPERTY DIFF
CHEMBL1254097 O=C(Nc1ccc(Oc2ncnc3cc[nH]c23)cc1)Nc1ccccn1 6.065
gen_0 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_1 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_2 CON.Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 5.822 0.243
gen_3 COC.Cc1cc(NC(=O)Nc2cc(O)c(O)cn2)ccc1Oc1ncnc2ccn(C)c12 7.357 1.292
gen_4 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_5 CO.COc1cc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)ncc1N 6.195 0.130
gen_6 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_7 CON.Cc1cc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)ncc1O 7.238 1.173
gen_8 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_9 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_10 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_11 Cc1cccc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)n1 6.902 0.837
gen_12 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_13 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_14 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_15 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_16 Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4ccccn4)cc3)c21 6.297 0.232
gen_17 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_18 CONO.Cc1cc(C)nc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.510 1.444
gen_19 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513
gen_20 CON.Cc1ccc(C)c(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)n1 6.217 0.152
gen_21 Cc1ccnc(NC(=O)Nc2ccc(Oc3ncnc4ccn(C)c34)cc2)c1 7.578 1.513

ID SCAFFOLD PROPERTY DIFF
CHEMBL271795 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570
gen_0 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_1 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_2 CO.Cc1cc(-c2cccc3sncc23)ccc1NC(=O)Nc1ccccc1 6.663 0.093
gen_3 COC(C)=O.Cc1cccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2O)c1 6.622 0.052
gen_4 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_5 COC(=O)O.O=C(Nc1ccc(-c2cccc3sncc23)cc1)Nc1cccc(O)c1 6.544 0.026
gen_6 CO.Cc1cccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1 6.673 0.103
gen_7 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_8 Cc1ccccc1NC(=O)Nc1ccc(-c2cccc3sncc23)cc1 6.605 0.035
gen_9 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_10 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_11 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_12 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_13 Nc1ccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)cc1 6.821 0.251
gen_14 CC(C)C.O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.689 0.118
gen_15 Nc1cccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1 6.704 0.134
gen_16 CO.Cc1cc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)cc(C)c1O 6.788 0.218
gen_17 Cc1cccc(NC(=O)Nc2ccc(-c3cc(C)c(N)c4sncc34)cc2)c1 6.827 0.257
gen_18 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_19 COC.Cc1ccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c(C)c1 6.652 0.082
gen_20 CO.Cc1cccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1 6.673 0.103
gen_21 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_22 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_23 CO.Cc1cc(-c2ccc(NC(=O)Nc3ccccc3)cc2)c2cnsc2c1 6.614 0.044
gen_24 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000
gen_25 Cc1cccc(NC(=O)Nc2ccc(-c3cc(C)cc4sncc34)cc2C)c1 6.583 0.013
gen_26 CO.Cc1cccc(NC(=O)Nc2ccc(-c3cccc4sncc34)cc2)c1 6.673 0.103
gen_27 O=C(Nc1ccc(-c2cccc3sncc23)cc1)Nc1cccc([Cl:0])c1 6.814 0.244
gen_28 Nc1ccc(-c2ccc(NC(=O)Nc3ccccc3)cc2)c2cnsc12 6.702 0.132
gen_29 O=C(Nc1ccccc1)Nc1ccc(-c2cccc3sncc23)cc1 6.570 0.000

ID SCAFFOLD PROPERTY DIFF
CHEMBL3968322 c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.898
gen_0 CO.Cc1nc(COc2cc3ncnc(Nc4ccccc4)c3cc2N)cs1 6.884 0.013
gen_1 COC.Cc1nc(COc2cc3ncnc(Nc4ccccc4)c3cc2O)cs1 6.616 0.282
gen_2 CCO.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.949 0.051
gen_3 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_4 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_5 COC.Cc1ccc(Nc2ncnc3cc(OCc4csc(C)n4)c(O)cc23)cc1 6.797 0.101
gen_6 CO.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.786 0.112
gen_7 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_8 COC.Cc1nc(COc2ccc3c(Nc4cccc([Cl:0])c4)ncnc3c2)cs1 6.745 0.153
gen_9 c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.898 0.000
gen_10 CO.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.786 0.112
gen_11 COC.Cc1ccc(Nc2ncnc3c(C)c(OCc4csc(C)n4)c(O)cc23)cc1 6.528 0.370
gen_12 COC.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.736 0.162
gen_13 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_14 COC.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.736 0.162
gen_15 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_16 CONC(=O)O.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.885 0.013
gen_17 CO.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.786 0.112
gen_18 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_19 COC.Cc1nc(COc2cc3ncnc(Nc4ccc(C)c(O)c4)c3cc2OCO)cs1 6.586 0.312
gen_20 COC.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.736 0.162
gen_21 COC.c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.758 0.140
gen_22 COC.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.736 0.162
gen_23 COC.Cc1nc(COc2ccc3c(Nc4cccc([Cl:0])c4)ncnc3c2)cs1 6.745 0.153
gen_24 c1ccc(Nc2ncnc3cc(OCc4cscn4)ccc23)cc1 6.898 0.000
gen_25 COC.Cc1ccc(Nc2ncnc3cc(OCc4csc(C)n4)c(O)cc23)cc1 6.797 0.101
gen_26 CON.Cc1cccc(Nc2ncnc3cc(OCc4csc(C)n4)c(O)cc23)c1 6.852 0.046
gen_27 CO.Cc1nc(COc2ccc3c(Nc4ccccc4)ncnc3c2)cs1 6.786 0.112
gen_28 CO.Cc1cccc(Nc2ncnc3cc(OCc4cscn4)ccc23)c1 7.102 0.204
gen_29 COC.Cc1cccc(Nc2ncnc3cc(OCc4csc(C)n4)c(O)cc23)c1 6.803 0.095

ID SCAFFOLD PROPERTY DIFF
CHEMBL516635 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092
gen_0 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_1 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_2 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_3 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_4 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_5 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_6 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_7 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_8 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_9 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_10 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_11 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_12 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_13 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_14 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_15 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_16 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_17 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_18 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_19 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_20 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_21 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_22 CN(C)C.Cc1cccc(-n2cc(-c3ccccc3NCc3ccnc4cc(O)ccc34)nn2)c1 6.630 0.538
gen_23 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_24 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_25 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_26 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_27 COC.Cc1ccc(NCc2ccnc3ccc(C)cc23)c(-c2cn(-c3ccccc3)nn2)c1 6.320 0.228
gen_28 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000
gen_29 c1ccc(-n2cc(-c3ccccc3NCc3ccnc4ccccc34)nn2)cc1 6.092 0.000

ID SCAFFOLD PROPERTY DIFF
CHEMBL216891 O=C(Nc1ccccc1)Nc1ccc2[nH]c3c4c(c5c(c3c2c1)CNC5=O)-c1c[nH]nc1CC4 6.883
gen_0 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_1 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_2 CCO.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.188 0.306
gen_3 CC(C)O.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.143 0.261
gen_4 CCO.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.188 0.306
gen_5 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_6 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_7 CCO.Cc1cccc(NC(=O)Nc2ccc3c(c2)c2c4c(c5c(c2n3C)CCc2nn(C)cc2-5)C(=O)NC4)c1 7.417 0.534
gen_8 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_9 CCO.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.188 0.306
gen_10 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_11 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_12 CCC.Cc1cccc(NC(=O)Nc2ccc3c(c2)c2c4c(c5c(c2n3C)CCc2nn(C)cc2-5)C(=O)NC4)c1 7.516 0.634
gen_13 CCCO.Cc1cccc(O)c1NC(=O)Nc1ccc2c(c1)c1c3c(c4c(c1n2C)CCc1nn(C)cc1-4)C(=O)NC3 7.137 0.255
gen_14 CCO.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5cccc(O)c5)ccc4n(C)c13)CNC2=O 7.377 0.494
gen_15 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_16 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_17 CCC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.247 0.364
gen_18 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_19 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
gen_20 CC[C@@H](C)C(=O)O.Cc1cc(C)cc(NC(=O)Nc2ccc3c(c2)c2c4c(c5c(c2n3C)CCc2nn(C)cc2-5)C(=O)NC4)c1 7.851 0.969
gen_21 COC.Cn1cc2c(n1)CCc1c-2c2c(c3c4cc(NC(=O)Nc5ccccc5)ccc4n(C)c13)CNC2=O 7.132 0.250
